Entity Type,EntityID,EntityName,Inc/OrgDate,EntityStatus,StatusDate,RegAgentofficeCity
12,O028589,107 E VERONA AVE LLC,12/19/12,IGS,10/24/18,MADISON
12,O026221,"107 N MILITARY RD, LLC",1/20/10,ADS,5/28/18,MADISON
12,O037393,108 NORTH FOURTH LLC,6/15/20,ORG,6/15/20,MADISON
12,O033922,108 OLD ABE ROAD OWNER LLC,12/4/17,DLQ,10/1/19,MADISON
12,O023513,"109 N. HANCOCK STREET, LLC",7/24/06,IGS,7/20/18,MADISON
1,O035876,"11 HAZEK DASTAGIR, INC.",4/29/19,INC,4/29/19,MADISON
12,O037232,"110 S BROOM, LLC",4/30/20,ORG,4/30/20,MADISON
13,O035684,1100 E. RIVERVIEW EXPRESSWAY LLC,3/18/19,RGD,3/18/19,MADISON
13,O034669,"1100 MILWAUKEE AVE, LLC",6/12/18,RGD,6/12/18,MADISON
12,O035912,"1101 CONNERY COVE, LLC",5/6/19,ORG,5/6/19,MADISON
12,O028358,110-114 SUNNYMEADE LLC,9/18/12,IGS,7/31/18,MADISON
13,O035693,1105 E. GRAND AVE LLC,3/18/19,RGD,3/18/19,MADISON
12,O031734,1107 ELIZABETH LLC,2/17/16,ADS,3/14/20,MADISON
12,O033527,1108 MOUND STREET LLC,8/14/17,IGS,8/5/19,MADISON
12,O032833,1109 WEST FULTON LLC,1/24/17,DLQ,1/1/20,MADISON
12,O037340,"1110 FISH HATCHERY RD, LLC",5/29/20,ORG,5/29/20,MADISON
12,O033320,1112 SOUTH PARK LLC,6/9/17,IGS,2/24/20,MADISON
12,O032856,1113 W FULTON LLC,1/30/17,DLQ,1/1/20,MADISON
12,O036536,1117 DELAPLAINE COURT LLC,10/28/19,ORG,10/28/19,MADISON
13,O035752,1117 NOW3RD LLC,3/29/19,RGD,3/29/19,MADISON
12,O030013,1118 PARK ST LLC,5/28/14,IGS,11/12/19,MADISON
12,W061199,"112 & 116 KING STREET, LLC",4/26/13,DIS,12/29/19,MADISON
12,O018717,"112 LANGDON-A, LLC",12/29/98,DIS,10/30/18,MADISON
12,O018718,"112 LANGDON-B, LLC",12/29/98,DIS,10/30/18,MADISON
12,O037233,"112 S BROOM, LLC",4/30/20,ORG,4/30/20,MADISON
8,O018222,"1126 WEST ALLIS OPERATING ASSOCIATES, LIMITED PARTNERSHIP",6/17/20,CAN,6/17/20,MADISON
12,O025195,1127 N. WATER STREET LLC,9/4/08,IGS,8/28/18,MADISON
12,O030584,"1127 SOUTH 8TH ST, LLC",1/8/15,IGS,1/4/19,MADISON
13,O035343,"1130 MILWAUKEE AVE, LLC",12/19/18,RGD,12/19/18,MADISON
12,O034327,"1130 UNIEK, LLC",3/13/18,ORG,3/13/18,MADISON
12,O033739,"1131 IRVING PL, LLC",10/10/17,IGS,10/24/19,MADISON
13,O036894,"11317 MCCORMICK STREET, LLC",2/4/20,RGD,2/4/20,MADISON
12,O023515,"114 N. FRANKLIN STREET, LLC",7/24/06,IGS,7/20/18,MADISON
12,O027044,114 STATE STREET LLC,2/27/11,IGS,2/5/19,MADISON
12,O032857,1140 WINSTON LLC,1/30/17,DLQ,1/1/20,MADISON
12,O035929,115 PAOLI LLC,5/9/19,ORG,5/9/19,MADISON
12,O030136,"115 SMOORLAND, LLC",7/16/14,DLQ,7/1/19,MADISON
12,O029880,115 SPIDER LAKE LLC,4/11/14,DLQ,4/1/19,MADISON
12,O029197,1150WILLY104 LLC,8/1/13,DLQ,7/1/20,MADISON
12,O033153,117 N FRANKLIN LLC,4/25/17,ADS,6/13/20,MADISON
12,B074294,"118 KING STREET, LLC",1/30/13,DIS,12/29/19,MADISON
12,O035000,"118 NORTH HANCOCK, LLC",9/17/18,ORG,9/17/18,MADISON
14,O021595,118 STATE STREET GROUP LLP,2/20/04,ADS,3/14/20,MADISON
12,O023516,"119 N. BUTLER STREET, LLC",7/24/06,IGS,7/20/18,MADISON
12,O023517,"119-21 E. MAIN STREET, LLC",7/24/06,IGS,7/20/18,MADISON
13,O036810,11925 CARMEN LLC,1/15/20,RGD,1/15/20,MADISON
12,O025019,"11TH-HOUR HEROICS, LLC",5/29/08,ADS,10/19/19,MADISON
12,O033297,12 ROSES GIFTS LLC,6/1/17,IGS,5/30/19,MADISON
12,O036817,"120 EAST WILSON INVESTMENT, LLC",1/17/20,ORG,1/17/20,MADISON
12,O023518,"120 N. HANCOCK STREET, LLC",7/24/06,IGS,7/20/18,MADISON
12,O031153,120 SUMMER STREET LLC,7/31/15,ADS,9/10/18,MADISON
13,O036024,1200 MAIN STREET JV HOLDINGS LLC,6/4/19,RGD,6/4/19,MADISON
12,O035299,1200 MAIN STREET LEASING LLC,12/7/18,ORG,12/7/18,MADISON
13,O035686,1200 MAIN STREET OZ LLC,3/18/19,RGD,3/18/19,MADISON
12,O035298,1200 MAIN STREET REAL ESTATE LLC,12/7/18,ORG,12/7/18,MADISON
12,O020879,"1200 MOUND STREET, LLC",1/21/03,IGS,4/24/19,MADISON
12,O019739,"1200 WASHINGTON STREET, LLC",2/6/01,DIS,4/9/18,MADISON
12,O034454,1202 FEMRITE DRIVE LLC,4/11/18,ORG,4/11/18,MADISON
12,O036012,"1205 65TH STREET, LLC",6/4/19,ORG,6/4/19,MADISON
12,O033736,"1205 GENEVA ST, LLC",10/10/17,DLQ,10/1/19,MADISON
12,O023614,1205 NISHISHIN LLC,9/5/06,DIS,12/11/18,MADISON
12,O029071,"1206 REGENT, LLC",6/18/13,IGS,7/1/19,MADISON
12,O031063,1209 GLACIER HILL LLC,6/23/15,DLQ,4/1/20,MADISON
12,O034935,1209 WILLY LLC,8/22/18,ORG,8/22/18,MADISON
14,O024089,121 LANGDON STREET GROUP LLP,4/13/07,IGS,6/11/19,MADISON
12,O034517,121 PARKWAY LLC,5/1/18,DLQ,4/1/20,MADISON
12,O028749,1210 FOURIER DRIVE LLC,2/12/13,DIS,12/10/19,MADISON
12,O034060,1214 ANN LLC,1/8/18,ORG,1/8/18,MADISON
12,O032370,"1214 WILLIAMSON ST, LLC",9/3/16,IGS,7/24/18,MADISON
12,O020917,"1217 SANTA CRUZ DRIVE, LLC",2/18/03,ADS,5/28/18,MADISON
12,O036565,122 ARROWHEAD DRIVE REAL ESTATE LLC,11/5/19,ORG,11/5/19,MADISON
1,O036563,122 ARROWHEAD ENTERPRISES INC.,11/5/19,INC,11/5/19,MADISON
12,O023519,"122 E. DAYTON STREET, LLC",7/24/06,IGS,7/17/18,MADISON
12,O023520,"123 E. MAIN STREET, LLC",7/24/06,IGS,7/20/18,MADISON
12,O018839,"123 WEST WASHINGTON, LLC",4/26/99,IGS,4/14/20,MADISON
12,O025705,"1230 CELEBRATION, LLC",5/11/09,ADS,6/11/18,MADISON
12,O023510,"123-25 N. BUTLER STREET, LLC",7/21/06,IGS,7/20/18,MADISON
12,O036380,1236 WILLY LLC,9/16/19,ORG,9/16/19,MADISON
12,B090450,1239 CROSSING MEADOWS DRIVE LLC,5/3/18,DLQ,4/1/20,MADISON
12,O035258,123F LLC,11/27/18,ORG,11/27/18,MADISON
12,O036695,"123WELCOMEHOME, LLC",12/16/19,ORG,12/16/19,MADISON
12,O023521,"124 N. HANCOCK STREET, LLC",7/24/06,IGS,7/20/18,MADISON
13,O037277,126 CHARLES STREET LLC,5/13/20,RGD,5/13/20,MADISON
12,O036425,1262 JOHN Q HAMMONS LLC,10/2/19,ORG,10/2/19,MADISON
12,O037163,1262 JQH LLC,4/9/20,ORG,4/9/20,MADISON
12,O030745,127 MAIN VERONA LLC,3/4/15,IGS,10/9/18,MADISON
12,O025221,"128 W. GILMAN I, LLC",9/19/08,IGS,9/21/18,MADISON
12,O025222,"128 W. GILMAN II, LLC",9/19/08,IGS,9/21/18,MADISON
12,T039354,13 LAKESHORE COURT LLC,7/26/05,IGS,7/2/20,MADISON
12,O031311,"13 LAKESHORE CT, LLC",10/1/15,DLQ,10/1/19,MADISON
12,O034604,"13 SHERMAN TER, LLC",5/25/18,DLQ,4/1/20,MADISON
12,O022000,"130 EAST GORHAM, LLC",8/31/04,DIS,1/1/18,MADISON
12,O035974,"130 SOUTH FIRST, LLC",5/23/19,ORG,5/23/19,MADISON
13,O035688,1300 KOELLER STREET LLC,3/18/19,RGD,3/18/19,MADISON
13,O037205,1301 MICHIGAN AVE LLC,4/22/20,RGD,4/22/20,MADISON
12,O036170,"1301-15 LOREEN, LLC",7/17/19,ORG,7/17/19,MADISON
13,O035692,1306 N. CENTRAL AVENUE LLC,3/18/19,RGD,3/18/19,MADISON
12,O033068,1315 VILAS LLC,3/30/17,IGS,1/19/19,MADISON
12,O019071,"1320 DEWEY COURT, LLC",11/10/99,IGS,12/3/18,MADISON
12,O028711,1320 E DAYTON LLC,1/30/13,IGS,4/17/20,MADISON
12,O028712,1321 E JOHNSON LLC,1/30/13,IGS,4/17/20,MADISON
12,O029093,"1325GC, LLC",6/25/13,IGS,5/8/18,MADISON
12,O030967,"133 AUTO REPAIR, LLC",5/20/15,ADS,6/11/18,MADISON
12,O032559,"134 FAIR OAKS, LLC",11/2/16,IGS,2/8/19,MADISON
12,O025223,"134 W. GILMAN I, LLC",9/19/08,IGS,9/21/18,MADISON
12,O025224,"134 W. GILMAN II, LLC",9/19/08,IGS,9/21/18,MADISON
12,O036548,"1343 E. WISCONSIN AVENUE, LLC",11/1/19,ORG,11/1/19,MADISON
12,O030308,1348-50 WILLIAMSON STREET LLC,9/17/14,DLQ,7/1/20,MADISON
12,O036307,"135 E JOHNSON, LLC",8/23/19,ORG,8/23/19,MADISON
12,O030307,1358 WILLIAMSON STREET LLC,9/17/14,DLQ,7/1/20,MADISON
12,O030178,"1374 WILLIAMSON STREET, LLC",7/31/14,IGS,12/27/19,MADISON
12,F029820,"14 WEST MIFFLIN ASSOCIATES, LLC",1/28/99,ADS,5/28/18,MADISON
12,O029283,"1410 NORTH JOHNS STREET DODGEVILLE, WI LLC",9/3/13,IGS,9/4/19,MADISON
12,O033738,"1414 LIBERTY ST, LLC",10/10/17,IGS,10/24/19,MADISON
12,O037521,1414 S PARK LLC,7/17/20,ORG,7/17/20,MADISON
12,O027984,"14-16 MT VERNON, LLC",4/12/12,IGS,12/16/19,MADISON
12,O036149,142 MARQUETTE LLC,7/12/19,ORG,7/12/19,MADISON
13,O035685,1425 JANESVILLE AVENUE LLC,3/18/19,RGD,3/18/19,MADISON
12,O032582,"143DIAMONDS, LLC",11/10/16,IGS,12/10/18,MADISON
12,O030991,144 LANGDON STREET HISTORIC LLC,6/1/15,IGS,4/16/18,MADISON
12,O030992,144 LANGDON STREET MANAGER LLC,6/1/15,ADS,6/10/19,MADISON
13,O035782,1450 WEST MAIN AVENUE LLC,4/4/19,RGD,4/4/19,MADISON
12,O029516,149 EAST WILSON LLC,11/21/13,IGS,11/6/19,MADISON
12,O028488,"14EP, LLC",11/15/12,DIS,1/29/18,MADISON
12,O036262,"14TH STREET, LLC",8/12/19,ORG,8/12/19,MADISON
12,O034849,15 NORTH HANCOCK L.L.C.,8/1/18,ORG,8/1/18,MADISON
13,O036273,"150 WEST OAKVIEW INDUSTRIAL, LLC",8/13/19,RGD,8/13/19,MADISON
14,O019787,"1509 MONROE STREET PARTNERSHIP, LLP",3/14/01,ADS,3/14/20,MADISON
12,O030306,1512 WILLIAMSON STREET LLC,9/17/14,DLQ,7/1/20,MADISON
12,O030134,"1514 ADAMS, LLC",7/15/14,DLQ,7/1/19,MADISON
12,O034861,1518 N. 34TH ST. LLC,8/6/18,DLQ,7/1/20,MADISON
12,O036242,152 EAST JOHNSON LLC,8/6/19,ORG,8/6/19,MADISON
12,O036519,1526 LATHROP LLC,10/24/19,ORG,10/24/19,MADISON
12,O033731,"1533 VILLA ST, LLC",10/10/17,IGS,10/24/19,MADISON
12,O036996,1550 CAPITAL GROUP LLC,2/28/20,ORG,2/28/20,MADISON
12,O020402,"158 COVE OF LAKE GENEVA, L.L.C.",4/24/02,ADS,6/11/18,MADISON
12,O032155,"15TH AND NORTH APARTMENTS, LLC",6/17/16,IGS,6/20/18,MADISON
13,O036354,"16 AVE 3001 DEMING, LLC",9/9/19,RGD,9/9/19,MADISON
12,O029652,"16 BARS, LLC",1/21/14,DLQ,1/1/20,MADISON
12,O024879,"1606-1608 SOUTH MAIN, LLC",4/3/08,IGS,4/23/18,MADISON
12,O023522,"1619-21 MONROE STREET, LLC",7/24/06,IGS,7/20/18,MADISON
13,O035690,1625 BLASCHKO AVE LLC,3/18/19,RGD,3/18/19,MADISON
13,O035691,1625 US HIGHWAY 61 LLC,3/18/19,RGD,3/18/19,MADISON
12,O033732,"1626 EAST ST, LLC",10/10/17,IGS,10/24/19,MADISON
12,O034918,"1640 WILLARD DRIVE, LLC",8/17/18,ORG,8/17/18,MADISON
13,O034398,"1687 RIB FALLS, LLC",3/27/18,RGD,3/27/18,MADISON
6,O037139,"1700 MONROE STREET CONDOMINIUM UNIT OWNERS ASSOCIATION, INC.",4/3/20,INC,4/3/20,MADISON
12,O017088,"1702 MORELAND RD., LLC",8/16/94,DLQ,7/1/19,MADISON
12,O033733,"1711 ERIE ST, LLC",10/10/17,IGS,10/24/19,MADISON
12,O033734,"1715 ERIE ST, LLC",10/10/17,IGS,10/24/19,MADISON
6,O023449,"1721 LEGACY LANE/1734 SAWTOOTH LANE CONDOMINIUM ASSOCIATION, INC.",6/22/06,ADS,6/13/20,MADISON
12,O032378,1733 LLC,9/7/16,ADS,9/9/19,MADISON
12,O033978,"1741 DOLPHIN DRIVE, LLC",12/19/17,DIS,3/14/18,MADISON
12,O035993,175 NORTH FARM ROAD LLC,5/31/19,ORG,5/31/19,MADISON
12,O030540,1751 DESIGN STUDIO LLC,12/16/14,DLQ,10/1/19,MADISON
13,O035689,1771 WISCONSIN AVENUE LLC,3/18/19,RGD,3/18/19,MADISON
13,O035687,1777 PAULSON ROAD LLC,3/18/19,RGD,3/18/19,MADISON
12,O031458,"1791 ARMS AND AMMO, LLC",11/18/15,IGS,10/5/19,MADISON
12,O034299,18 S BASSETT LLC,3/6/18,DLQ,1/1/20,MADISON
12,O025196,1800-1814 E. NORTH AVE LLC,9/4/08,IGS,8/28/18,MADISON
12,O035153,1800BOARDUP OF SOUTHERN WI LLC,10/25/18,ORG,10/25/18,MADISON
12,O033737,"1843 LA SALLE ST, LLC",10/10/17,IGS,10/24/19,MADISON
12,O036017,"1845 E. MAIN, LLC",6/4/19,ORG,6/4/19,MADISON
12,O033356,"1856 ROOSEVELT, LLC",6/22/17,ADS,6/13/20,MADISON
12,O035651,1865 MONROE L.L.C.,3/10/19,ORG,3/10/19,MADISON
12,O034903,"1881 EVENT PRODUCTIONS, LLC",8/14/18,ORG,8/14/18,MADISON
12,O035703,"18TH STREET, LLC",3/20/19,ORG,3/20/19,MADISON
2,O036505,18W HOLDINGS INC.,10/17/19,INC,10/17/19,MADISON
12,O026217,"19 N. PINCKNEY, LLC",1/19/10,IGS,4/17/19,MADISON
12,O031345,1903 CAR WASH HOLDINGS LLC,10/9/15,DIS,1/3/18,MADISON
12,O034804,"1911 PIKE DRIVE, LLC",7/19/18,DIS,9/30/19,MADISON
12,O033735,"1911-1913 CASE AVE, LLC",10/10/17,IGS,10/24/19,MADISON
12,O036576,1913 REGENT STREET LLC,11/11/19,ORG,11/11/19,MADISON
12,O028743,"1915 WASHINGTON AVE, LLC",2/11/13,IGS,1/4/19,MADISON
12,O035270,1917 TAYLOR LLC,11/29/18,ORG,11/29/18,MADISON
12,O036375,1920 S PARK LLC,9/13/19,ORG,9/13/19,MADISON
12,O027958,"1925 MONROE, LLC",4/4/12,IGS,11/12/19,MADISON
12,O035446,"1925 WINNEBAGO, LLC",1/18/19,ORG,1/18/19,MADISON
12,T038413,1927 WINNEBAGO STREET LLC,2/21/05,DIS,6/6/18,MADISON
12,O035310,"1935 UNIVERSITY AVE, LLC",12/11/18,DIS,12/16/19,MADISON
12,O035460,"1938 ATWOOD AVENUE, LLC",1/22/19,ORG,1/22/19,MADISON
12,O035541,"1941 UNIVERSITY AVE, LLC",2/12/19,DIS,12/16/19,MADISON
12,O031822,1968 ATWOOD LLC,3/15/16,IGS,3/30/19,MADISON
12,O035869,"1CARNEY JV, LLC",4/26/19,ORG,4/26/19,MADISON
12,O036930,"1H - RING MD JV, LLC",2/14/20,ORG,2/14/20,MADISON
13,O037469,"1M GROUP, LLC",7/2/20,RGD,7/2/20,MADISON
12,O032722,"1PROSPECT AOCE JV, LLC",12/21/16,DIS,1/8/20,MADISON
12,O025560,"1ST AMERICAN PEST CONTROL & SNOW REMOVAL, LLC",3/4/09,IGS,5/3/18,MADISON
12,O032257,1ST GO LLC,7/28/16,IGS,7/10/19,MADISON
1,F029854,1ST MIDWEST MORTGAGE CORPORATION,2/11/99,DLQ,1/1/19,MADISON
2,O028285,"1ST MONEY CENTER, INC.",8/15/12,RCA,10/11/18,Madison
2,O036184,"1ST RATE HOME MORTGAGE, INC.",8/12/19,INC,8/12/19,MADISON
2,O031418,"1ST RELIANT HOME LOANS, INC.",11/6/15,RCA,10/1/19,MADISON
13,O035758,"1ST TEAM MORTGAGE, LLC",4/1/19,RGD,4/1/19,MADISON
12,O026435,"1ST WORLD TOOL ENTERPRISE, LLC",4/24/10,ADS,6/10/19,MADISON
12,T082558,2 ANGELS AND US LLC,10/4/19,ORG,10/4/19,MADISON
12,T075973,2 BLACK SWANS LLC,2/25/18,DLQ,1/1/20,MADISON
12,T068581,"2 BROTHERS TRANS, LLC",2/9/16,ADS,3/16/19,MADISON
12,T052220,"2 CAPITOLS, LLC",11/2/10,IGS,10/28/19,MADISON
12,T064297,"2 GIRLS MUSIC, LLC",10/22/14,ADS,12/9/19,MADISON
12,T062413,"2 HANDS TO HELP YOU, LLC",5/1/14,ADS,6/10/19,MADISON
12,T082243,2 THE LAST MILE MOTOR CARS LLC,9/9/19,ORG,9/9/19,MADISON
12,T040559,"2 X R, LLC",2/22/06,DLQ,1/1/20,MADISON
12,T069297,"2001 FREEPORT ROAD PROPERTIES, LLC",4/22/16,IGS,5/30/18,MADISON
12,T066546,2001 MONROE LLC,6/23/15,DLQ,4/1/20,MADISON
12,T070524,"201 MARBELLA, LLC",9/1/16,IGS,9/9/19,MADISON
12,T029776,"201 SOUTH BALDWIN, LLC",11/10/99,IGS,12/12/18,MADISON
12,T060708,"2011 WEST COURT STREET JANESVILLE, WI LLC",9/3/13,IGS,9/4/19,MADISON
12,T057034,"2012 BC, LLC",6/26/12,IGS,4/13/20,MADISON
12,T070225,2013 NORTH SHERMAN AVENUE LLC,7/28/16,DLQ,7/1/20,MADISON
12,T072888,2014-2018 DODGE STREET LLC,4/21/17,IGS,5/1/20,MADISON
12,T068120,"2015 ACT 255 TAX CREDITS, LLC",12/23/15,ADS,12/10/18,MADISON
12,T067417,"2016 NATIONAL CONVENTION EVENTS, LLC",10/8/15,ADS,4/20/19,MADISON
12,T070518,"2016 SOUTH HASTINGS WAY, LLC",8/31/16,DLQ,7/1/20,MADISON
12,T080615,2019 BD GROUP LLC,4/9/19,ORG,4/9/19,MADISON
13,T081529,"2019 BROOKFIELD INVESTMENT, LLC",6/28/19,RGD,6/28/19,MADISON
16,T082521,2020 DEMOCRATIC NATIONAL CONVENTION COMMITTEE,9/30/19,INC,9/30/19,MADISON
12,T075895,20-20 FUND LLC,2/17/18,ORG,2/17/18,MADISON
2,T082338,20-20 TECHNOLOGIES COMMERCIAL CORP.,4/6/20,INC,4/6/20,MADISON
12,T045345,"202-208 TALON PLACE, LLC",3/26/08,ADS,3/17/18,MADISON
12,T083100,"2023 RUSK ST RE, LLC",11/19/19,ORG,11/19/19,MADISON
12,T083315,"2025 UNIVERSITY AVE, LLC",12/11/19,ORG,12/11/19,MADISON
12,T075168,2026 FIELD ST LLC,1/1/18,DLQ,1/1/20,MADISON
12,T083103,"2027 RUSK ST RE, LLC",11/19/19,ORG,11/19/19,MADISON
12,T029777,"203 SOUTH BALDWIN, LLC",11/10/99,IGS,12/12/18,MADISON
12,T070587,2033 E WASHINGTON AVENUE LLC,9/8/16,DLQ,7/1/20,MADISON
12,T085936,"2039 EAST LAKE SHORE, LLC",7/7/20,ORG,7/7/20,MADISON
12,T067170,2040 EAST JOHNSON ST LLC,9/9/15,IGS,7/23/18,MADISON
12,T073465,206 KAREN COURT LLC,6/23/17,DIS,12/4/19,MADISON
12,T076746,206 MAPLE DRIVE LLC,5/1/18,DLQ,4/1/20,MADISON
12,T045025,"2062 RANGE TRAIL, LLC",2/19/08,ADS,5/28/18,MADISON
12,T041828,"2078 ATWOOD, LLC",10/11/06,IGS,10/6/19,MADISON
14,T030804,2086 ATWOOD AVENUE LLP,8/17/00,IGS,8/22/19,MADISON
12,T078740,21 FISKDALE LLC,11/6/18,DIS,6/18/20,MADISON
12,T078711,21 FISKDALE LLC,11/2/18,DIS,11/6/18,MADISON
12,T072070,21 S RANDALL AVE LLC,2/10/17,IGS,7/20/19,MADISON
12,T082069,210 SOUTH DICKINSON LLC,8/22/19,ORG,8/22/19,MADISON
12,T078138,"210 VAN DEUSEN, LLC",9/11/18,ORG,9/11/18,MADISON
12,T078093,"2100 ROMAYNE RACINE, LLC",9/5/18,ORG,9/5/18,MADISON
14,T026273,"2101 ENTERPRISES, LLP",6/5/96,ADS,6/13/20,MADISON
13,T080418,2105 LAZELLE STREET LLC,3/26/19,RGD,3/26/19,MADISON
6,T034950,"2-1-1 WISCONSIN, INC.",9/2/03,IGS,6/14/18,MADISON
12,T083055,2110 ATWOOD LLC,11/14/19,ORG,11/14/19,MADISON
14,T026472,"2110 DEVELOPMENT COMPANY, LLP",8/28/96,DLQ,7/1/19,MADISON
12,T070771,2116 AWA LLC,9/27/16,IGS,9/5/19,MADISON
12,T061658,"212 BUECHNER, LLC",1/6/14,DIS,12/31/18,MADISON
12,T083798,"212 PSYCHOTHERAPY, LLC",1/20/20,ORG,1/20/20,MADISON
14,T049119,"2122 ASSOCIATES, LLP",8/27/09,IGS,8/14/19,MADISON
12,T074961,"2127 GOODWILL SPRINGS, LLC",11/27/17,IGS,11/4/19,MADISON
12,T073911,213 RANDOLPH LLC,8/10/17,DLQ,7/1/20,MADISON
12,T059245,"2132 FORDEM, LLC",3/14/13,IGS,1/31/20,MADISON
13,T069678,"214 ENTERPRISES, LLC",7/3/17,RCA,10/11/18,MADISON
12,T085026,"2141 REGENT, LLC",4/30/20,ORG,4/30/20,MADISON
13,T085755,"2152 S. 114 (WISCONSIN), LLC",6/24/20,RGD,6/24/20,MADISON
